claim_id,policy_id,customer_id,claim_amount,claim_date,claim_type,claim_status,description,adjuster_id,settlement_amount,settlement_date,created_at,updated_at
CLM001,POL001,CUST001,15000.00,2024-01-15,AUTO,CLOSED,Vehicle collision on highway,ADJ001,14500.00,2024-02-10,2024-01-15 09:30:00,2024-02-10 16:45:00
CLM002,POL002,CUST002,8500.00,2024-01-20,HOME,CLOSED,Water damage from burst pipe,ADJ002,8000.00,2024-02-15,2024-01-20 14:20:00,2024-02-15 11:30:00
CLM003,POL003,CUST003,25000.00,2024-02-01,LIFE,PENDING,Life insurance claim,ADJ003,,,,2024-02-01 10:15:00,2024-02-01 10:15:00
CLM004,POL004,CUST004,3200.00,2024-02-05,HEALTH,CLOSED,Medical procedure coverage,ADJ001,3200.00,2024-02-20,2024-02-05 08:45:00,2024-02-20 13:20:00
CLM005,POL005,CUST005,12000.00,2024-02-10,BUSINESS,OPEN,Equipment theft,ADJ004,,,,2024-02-10 16:30:00,2024-02-10 16:30:00
CLM006,POL006,CUST006,7800.00,2024-02-15,AUTO,CLOSED,Hail damage to vehicle,ADJ002,7500.00,2024-03-01,2024-02-15 11:00:00,2024-03-01 09:15:00
CLM007,POL007,CUST007,18500.00,2024-02-20,HOME,REJECTED,Flood damage - not covered,ADJ003,0.00,2024-03-05,2024-02-20 13:45:00,2024-03-05 14:30:00
CLM008,POL008,CUST008,4500.00,2024-02-25,HEALTH,CLOSED,Emergency room visit,ADJ001,4200.00,2024-03-10,2024-02-25 19:20:00,2024-03-10 10:45:00
CLM009,POL009,CUST009,22000.00,2024-03-01,AUTO,OPEN,Multi-vehicle accident,ADJ004,,,,2024-03-01 15:30:00,2024-03-01 15:30:00
CLM010,POL010,CUST010,9200.00,2024-03-05,HOME,CLOSED,Fire damage to kitchen,ADJ002,8800.00,2024-03-20,2024-03-05 07:15:00,2024-03-20 12:00:00
CLM011,POL001,CUST001,2800.00,2024-03-10,AUTO,CLOSED,Minor fender bender,ADJ001,2800.00,2024-03-25,2024-03-10 12:30:00,2024-03-25 14:15:00
CLM012,POL011,CUST011,35000.00,2024-03-15,BUSINESS,PENDING,Commercial property damage,ADJ003,,,,2024-03-15 09:45:00,2024-03-15 09:45:00
CLM013,POL012,CUST012,6700.00,2024-03-20,HEALTH,CLOSED,Surgical procedure,ADJ001,6700.00,2024-04-05,2024-03-20 11:20:00,2024-04-05 16:30:00
CLM014,POL013,CUST013,14200.00,2024-03-25,HOME,OPEN,Storm damage to roof,ADJ004,,,,2024-03-25 17:00:00,2024-03-25 17:00:00
CLM015,POL014,CUST014,5900.00,2024-04-01,AUTO,CLOSED,Vandalism damage,ADJ002,5600.00,2024-04-15,2024-04-01 08:30:00,2024-04-15 13:45:00
